ID,nom,departement,ville,CP,type
0910353P,Ecole élémentaire Jean Macé,91,Palaiseau,91120,primaire
0910354R,Ecole élémentaire Roger Ferdinand,91,Palaiseau,91120,primaire
0910355S,Ecole élémentaire Paul Langevin,91,Palaiseau,91120,primaire
0910356T,Ecole élémentaire Henri Wallon,91,Palaiseau,91120,primaire
0910358V,Ecole élémentaire Frédéric Joliot-Curie,91,Palaiseau,91120,primaire
0910359W,Ecole élémentaire Les Castors,91,Bièvres,91570,primaire
0910361Y,Ecole élémentaire Leopold Gardey,91,Bures-sur-Yvette,91440,primaire
0910365C,Ecole élémentaire Le Centre,91,Gif-sur-Yvette,91190,primaire
0910367E,Ecole primaire Hameau de Belleville,91,Gif-sur-Yvette,91190,primaire
0910368F,Ecole primaire Hameau de Courcelle,91,Gif-sur-Yvette,91190,primaire
0910371J,Ecole primaire Jean-Baptiste Corot,91,Igny,91430,primaire
0910372K,Ecole élémentaire Jules Ferry,91,Igny,91430,primaire
0910373L,Ecole élémentaire Frédéric Joliot-Curie,91,Igny,91430,primaire
0910374M,Ecole élémentaire Les Prés Verts,91,Nozay,91620,primaire
0910377R,Ecole élémentaire Le Centre,91,Orsay,91400,primaire
0910378S,Ecole élémentaire Hameau de Mondetour,91,Orsay,91400,primaire
0910384Y,Ecole élémentaire publique Thomas Gobert,91,Saclay,91400,primaire
0910390E,Ecole élémentaire Paul Fort,91,Verrières-le-Buisson,91370,primaire
0910392G,Ecole élémentaire La Roche,91,Villebon-sur-Yvette,91140,primaire
0910394J,Ecole primaire Les Casseaux,91,Villebon-sur-Yvette,91140,primaire
0910396L,Ecole élémentaire Ambroise Paré,91,La-Ville-du-Bois,91620,primaire
0910398N,Ecole élémentaire Jeanne Chanson,91,Villejust,91140,primaire
0910400R,Ecole élémentaire Le Centre,91,Villiers-le-Bâcle,91190,primaire
0910403U,Ecole élémentaire Louis Pasteur,91,La-Norville,91290,primaire
0910407Y,Ecole primaire école publique,91,Avrainville,91630,primaire
0910408Z,Ecole élémentaire Gabriel Chevrier,91,Brétigny-sur-Orge,91220,primaire
0910409A,Ecole élémentaire Langevin-Wallon,91,Brétigny-sur-Orge,91220,primaire
0910411C,Ecole élémentaire Jean-Jaurès,91,Brétigny-sur-Orge,91220,primaire
0910414F,Ecole élémentaire  Apprentis Sorciers,91,Cheptainville,91630,primaire
0910416H,Ecole élémentaire Alphonse Daudet,91,Égly,91520,primaire
0910418K,Ecole élémentaire Le Tilleul,91,Leudeville,91630,primaire
0910419L,Ecole élémentaire Le Parc,91,Leuville-sur-Orge,91310,primaire
0910423R,Ecole élémentaire Roger Vivier,91,Marolles-en-Hurepoix,91630,primaire
0910426U,Ecole élémentaire Parc Mirablon,91,Montlhéry,91310,primaire
0910427V,Ecole élémentaire Jacques Prévert,91,Ollainville,91340,primaire
0910429X,Etablissement régional d'enseignement adapté Le Château du Lac,91,Ollainville,91340,secondaire
0910431Z,Ecole élémentaire La Roche,91,Ollainville,91340,primaire
0910432A,Ecole élémentaire Léon Blum,91,Le-Plessis-Pâté,91220,primaire
0910433B,Ecole élémentaire Paul Langevin,91,Saint-Germain-lès-Arpajon,91180,primaire
0910435D,Ecole élémentaire Louis Babin,91,Saint-Germain-lès-Arpajon,91180,primaire
0910438G,Ecole élémentaire Jules Ferry,91,Saint-Michel-sur-Orge,91240,primaire
0910440J,Ecole élémentaire Pablo Picasso,91,Saint-Michel-sur-Orge,91240,primaire
0910441K,Ecole élémentaire Daniel Galland,91,Saint-Vrain,91770,primaire
0910444N,Ecole élémentaire La Croix Boisée,91,Vert-le-Grand,91810,primaire
0910446R,Ecole primaire Paul Valery,91,Épinay-sur-Orge,91360,primaire
0910448T,Ecole élémentaire Paul Langevin,91,Fleury-Mérogis,91700,primaire
0910449U,Ecole élémentaire Gabriel Péri,91,Grigny,91350,primaire
0910453Y,Ecole élémentaire Jean Jaurès,91,Morsang-sur-Orge,91390,primaire
0910454Z,Ecole élémentaire Ferdinand Buisson,91,Morsang-sur-Orge,91390,primaire
0910455A,Ecole élémentaire Marcel Cachin,91,Morsang-sur-Orge,91390,primaire
0910456B,Ecole élémentaire Paul Langevin,91,Morsang-sur-Orge,91390,primaire
0910457C,Ecole élémentaire Irène Joliot-Curie,91,Morsang-sur-Orge,91390,primaire
0910459E,Ecole élémentaire Romain Rolland,91,Sainte-Geneviève-des-Bois,91700,primaire
0910461G,Ecole primaire Ferdinand Buisson,91,Sainte-Geneviève-des-Bois,91700,primaire
0910463J,Ecole élémentaire Jean Jaurès,91,Sainte-Geneviève-des-Bois,91700,primaire
0910464K,Ecole élémentaire Hippolyte Cocheris,91,Sainte-Geneviève-des-Bois,91700,primaire
0910465L,Ecole élémentaire Jean Macé,91,Sainte-Geneviève-des-Bois,91700,primaire
0910468P,Ecole primaire Marcel Cachin,91,Sainte-Geneviève-des-Bois,91700,primaire
0910469R,Ecole élémentaire Albert Aubel,91,Sainte-Geneviève-des-Bois,91700,primaire
0910471T,Ecole élémentaire Emile Bouton,91,Villemoisson-sur-Orge,91360,primaire
0910473V,Ecole élémentaire André Malraux,91,Villiers-sur-Orge,91700,primaire
0910476Y,Ecole élémentaire Jules Ferry Groupe 2,91,Savigny-sur-Orge,91600,primaire
